"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"LO1","THAND","-49.886mm","-34.036mm","59.309mm","30.607mm","-49.886mm","-34.036mm","T","0.00","LOGO"
"J20","XHB-3A","17.399mm","32.512mm","17.399mm","35.052mm","17.399mm","35.052mm","T","270.00","SIP-3"
"J5","5557-2*1A","56.7772mm","117.9322mm","54.864mm","117.983mm","58.8772mm","117.9322mm","T","270.00","DIP-2*1"
"J15","VH3.96-5A","4.826mm","92.456mm","4.826mm","100.457mm","4.826mm","84.455mm","T","90.00","SIP-5-RED"
"J14","XHB-4A","50.673mm","6.604mm","54.483mm","6.604mm","54.483mm","6.604mm","T","180.00","SIP-4"
"J13","VH3.96-2A","62.7101mm","6.35mm","64.77mm","6.35mm","64.77mm","6.35mm","T","180.00","SIP-2"
"J12","XHB-10A","4.826mm","30.988mm","4.826mm","19.558mm","4.826mm","19.558mm","T","90.00","SIP-10-RED"
"J10","VH3.96-4A","56.8211mm","130.175mm","50.8mm","130.175mm","50.8mm","130.175mm","T","360.00","SIP-4"
"J9","XHB-12A","25.4mm","6.604mm","39.37mm","6.604mm","39.37mm","6.604mm","T","180.00","SIP-12"
"J8","XHB-5A","75.946mm","6.604mm","81.026mm","6.604mm","81.026mm","6.604mm","T","180.00","SIP-5-RED"
"J7","XHB-8A","88.011mm","81.153mm","88.011mm","90.043mm","88.011mm","90.043mm","T","270.00","SIP-8"
"J6","XHB-10A","88.011mm","111.633mm","88.011mm","123.063mm","88.011mm","123.063mm","T","270.00","SIP-10"
"J3","XHB-10A","74.93mm","111.633mm","74.93mm","123.063mm","74.93mm","123.063mm","T","270.00","SIP-10-BLUE"
"D1","0603_D","53.3336mm","105.9188mm","53.34mm","105.918mm","54.0258mm","105.918mm","T","180.00","蓝色LED"
"D2","0603_D","53.3336mm","90.8058mm","53.34mm","90.805mm","54.0258mm","90.805mm","T","180.00","绿色LED"
"D3","SMA/DO214AC","42.883mm","104.394mm","42.883mm","104.394mm","42.883mm","102.369mm","T","270.00","SS34"
"D4","SMA/DO214AC","42.883mm","89.408mm","42.883mm","89.408mm","42.883mm","87.383mm","T","270.00","SS34"
"D5","LL34_2P","48.9712mm","105.9942mm","48.133mm","106.172mm","50.8254mm","105.9942mm","T","180.00","1N4148"
